H2O,flux,Tem,V,cd,H2,CO,Q
0.5,500,1113,1.24,9061.1,0.13099,0.060824,0.041618
0.5,500,1073,0.94,846.28,0.012308,0.004688800000000001,-0.13882
0.5,400,1093,1.13,3802.0,0.06750199999999999,0.029615,-0.24493
0.5,500,1073,1.29,7785.7,0.11469000000000001,0.05018,0.34774
0.8,450,1073,0.9,905.27,0.01799,0.0022078,-0.15029
0.1,450,1023,0.94,321.1,0.0011324999999999998,0.006037,-0.086373
0.2,400,1023,1.52,12944.0,0.10271,0.26239,1.1841
0.6,500,1023,1.02,776.69,0.012669,0.0029633000000000003,-0.062225
0.45,500,1023,0.93,329.44,0.0046331,0.0019843,-0.049980000000000004
0.9,400,1023,1.02,1139.0,0.027476999999999998,0.0012958,-0.07471599999999999
0.4,450,1073,1.58,24958.0,0.33944,0.41303999999999996,4.3331
0.45,500,1023,1.43,9994.8,0.142,0.078168,1.3566
0.7,450,1123,1.12,6488.2,0.12276,0.027544,-0.37901999999999997
0.2,450,1023,1.56,16011.0,0.11263,0.29708,1.7101
0.15,500,1023,1.01,544.22,0.0027659000000000004,0.008174200000000001,-0.11204000000000001
0.6,500,1023,1.21,2649.8,0.043566,0.010639000000000001,0.10319
0.25,500,1023,1.06,745.01,0.0066223,0.0083642,-0.097097
0.5,500,1063,1.37,11694.0,0.17464000000000002,0.08394299999999999,1.06
0.5,400,1073,0.96,989.24,0.017647,0.0071833,-0.15804
0.1,400,1123,1.45,14460.0,0.050637,0.33749,-0.4821
0.7,550,1073,0.97,1363.6,0.021146,0.0038116,-0.17247
0.4,500,1023,1.6,23933.0,0.30229,0.32526,4.305
0.5,480,1023,1.2,2178.4,0.03387,0.012314,0.043970999999999996
0.4,400,1023,1.06,816.24,0.013091,0.0074403,-0.074377
0.9,400,1123,0.92,2165.2,0.050914,0.0037093000000000004,-0.37418
0.9,350,1073,0.97,1689.8,0.045921,0.0028984,-0.21461
0.5,500,1063,1.18,3469.4,0.050952,0.019943000000000002,-0.050759
0.9,550,1073,1.25,11285.0,0.21814,0.013034,0.54501
0.3,500,1123,1.21,6556.1,0.065808,0.06879199999999999,-0.41291000000000005
0.8,400,1023,1.45,21413.0,0.74298,0.16922,2.8215
0.1,350,1073,1.49,13202.0,0.053524,0.36163,0.16414
0.4,350,1073,1.57,21092.0,0.3624,0.47612,3.199
0.5,500,1123,1.02,2827.3,0.040276,0.016814,-0.35833000000000004
0.9,450,1023,1.08,1684.8,0.036407,0.0016472000000000001,-0.040652
0.2,400,1023,0.98,427.55,0.0037277,0.007005,-0.08720399999999999
0.8,400,1023,0.92,489.59,0.011143,0.0011426,-0.064917
0.95,500,1023,1.22,4705.9,0.097724,0.0020115,0.31413
0.9,350,1073,0.91,1077.3,0.029071,0.0018673,-0.17389000000000002
0.1,450,1123,1.42,13263.0,0.042588,0.26793,-0.6079899999999999
0.7,500,1123,1.18,9317.3,0.16212000000000001,0.036683,-0.18225999999999998
0.4,550,1073,1.38,11764.0,0.13660999999999998,0.095586,0.9015200000000001
0.2,350,1073,1.1,1907.6,0.018838,0.035946,-0.30844
0.5,500,1093,1.5,27041.0,0.41695,0.32919,5.9925
